.ecorediag	Kermeta ecore diagram information file
.ox	Ox object-oriented Matrix programming language file
.gsk	Geocaching Swiss Army Knife macro file
.xr	Cygnus ld-scripts file
.fsi	Microsoft Visual F# Signature file
.uit	UIX XML Template file
.fgb	Valve SDK source file
.svo	STATISTICA macro file
.xpgt	EPUB XML stylesheet page template
.bs2	BASIC Stamp 2 code file
.ogs	Origin script file
.sus	Synergy Accounts update script file
.rub	JQuery rules file
.scala	Scala source file
.appcache	HTML5 cache manifest file
.m2r	Avaya Mib2Rules Perl script file
.mmb	Oracle Forms menu binary source code file
.hms	HostMonitor script file
.saas	Sass Indented Syntax file
.shit	Bourne Shell Server Page file
.build	NAnt Build Tool file
.elc	Compiled ELISP code file
.4ge	IBM Informix 4GL compiled source code
.nxc	NXC Not eXactly C source code file
.iss	Caseware IDEA IDEAScript file
.xbd	JAXB schema file
.qcf	Microsoft QBasic coordinates file
.amos	AMOS Basic code file
.mc	Microsoft Windows localized message table resource file
.proto	Google Protocol Buffers buffer file
.groovy	Groovy programming language script file
.egg-info	Python Egg file
.clips	Coda for Mac clips file
.mxe	Corel Quattro Pro startup macro file
.sb	Microsoft Small Basic source code file
.hsm	Assembly language header file
.tla	The Temporal Logic of Actions file
.win32manifest	Microsoft Win32 manifest file
.coveragexml	Microsoft Visual Studio code coverage file
.licx	Microsoft Visual Studio license file
.pnproj	Programmer's Notepad project file
.plog	PLog programming language file
.applet	Eclipse IDE for Java Developers file
.rc3	Visual C resource file
.lnk	Linker response file
.4gl	Informix 4GL language source code file
.ada	ADA language source code file
.cobol	Micro-Focus Cobol
.pl	PROLOG language source code file
.dot	Graphviz DOT language file
.pdb	Microsoft Linker input database file
.galaxy	Blizzard Starcraft 2 Galaxy script file
.aidl	Google Android AIDL interface file
.cd	Visual Studio class diagram file
.jss	JAWS script source file
.rdoc	RubyDoc script file
.pbp	Perl Builder file
.ijs	J Interpretor Script File
.rvt	Apache Rivet Tcl file
.sma	C/C++ source code file
.rts	Resource Tuner Console script file
.kix	KiXtart script file
.vtm	Adobe ColdFusion Visual Tool Markup Language query file
.mdf	Fldigi macro file
.psl	PowerTerm script language file
.dfm	C++ Builder 6 form file
.sfm	SF programming language main source code file
.ik	Ioke script file
.zh_tw	Netscape Communicator java classes file
.bcf	MapTek Vulcan script file
.psc1	Microsoft Windows PowerShell console file
.textile	RedCloth script file
.exsd	Eclipse IDE extension point schema file
.wdk	WINDEV component file
.dor	ArchiCAD Geometric Description Language file
.common	Unix script file
.dsym	Apple Xcode debug symbols file
.wsh	Microsoft Windows Scripting Host file
.resjson	Microsoft Windows 8 Metro JavaScript file
.jpage	Eclipse Java scrapbook page file
.class	Gambas class source file
.axb	Alpha5 Xbasic script
.snippet	Microsoft Visual Studio code snippet file
.gxl	Graph Exchange Language file
.ywl	YoWindow data file
.depend	Code::Blocks project support file
.robo	RoboRealm robo script file
.appxmanifest	Windows Store app source manifest file
.hic	HicEst script file
.iss	Inno Setup script file
.mly	OCaml ocamlyacc input file
.bbc	BBC BASIC for Windows data file
.jcl	IBM Job Control Language file format
.has	Haskell script file
.qdl	QDL source code file
.pb	PureBasic source code
.jak	AHEAD Tool Suite file
.hxx	C++ header file
.scm	Scheme language source code file
.psu	PS2 YABASIC file
.vsmacros	Microsoft Visual Studio binary-based macro project
.li$	Microsoft Linker compressed input library file
.ph	Perl header file
.aem	Alphacam wire EDM parameter macro file
.gml	Graph Modeling Language file
.pf2	SmartWare project source code file
.bet	BETA source file
.dsp	Microsoft Developer Studio project file
.gc3	Golden Common Lisp source code file
.dsym	ArchiCAD for MAC Geometric Description Language file
.zpl	ZEMAX programming language file
.okm	Open Knowledge Management script file
.rpym	Ren'Py module file
.chh	C++ header file
.tik	Game texture script file
.pro	IDL programming language source code file
.dlg	C++ dialogue script file
.lbi	Adobe Dreamweaver library file
.tag	COREX file
.git	Git repository file
.b	BASIC language source file
.jsb	JAWS script binary file
.gus	Universal Score Poster script file
.rb	Ruby on Rails class file
.bsm	Project file
.d4	Dataphor source file
.cuh	CUDA header file
.wax	ProComm Plus compiled script file
.sjc	Sothink JavaScript Web Scroller definition file
.pp	Free Pascal source code file
.scar	SCAR script file
.rkt	Racket information module file
.a3x	AutoIt compiled script file
.ftn	Fortran language source code file
.ked	KEDIT profile and macro File
.res	Microsoft C, C++ compiled resource file
.stl	C++ standard template library
.maml	Microsoft Assistance Markup Language
.tlh	Typelib generated C/C++ header file
.ebs2	E-Prime E-Run script file
.xmla	XML for Analysis source file
.cshrc	UNIX command file
.oqy	Microsoft Excel OLAP query file
.tem	Borland C++ Turbo Editor Macro Language script file
.brx	BREW MP application resource file
.clp	CA-Clipper compiler script file
.mx	Modula-3 linker information
.mcml	Microsoft Windows Media Center MCML file
.pas	SIMATIC WinCC script file
.xoml	Microsoft Visual Studio XOML file
.mmjs	Adobe JavaScript document file
.rmn	Oracle Recovery Manager script file
.ghc	Visual Basic constant map file
.deb	Debug script of DOS MS Debug
.mln	Alchemy source file
.dht	DanTemplate HTML Template file
.playground	Apple Xcode playground file
.ba_	Renamed BAT file
.sid	OpenOffice.org slot id file
.bdsproj	Borland Developer Studio project file
.dpr	Pascal file
.kv	Kivy language file
.a	Assembly source code file
.configure	Bash file
.kex	KEDIT profile macro file
.lng	Lahey Fortran language file
.pem	Corel WordPerfect program editor macro file
.pfx	PFXplus application source code
.scz	Wingz script file
.lpr	Lazarus project file
.psml	Packet Summary Markup Language file
.pf?	SmartWare project source file
.php1	PHP1 auto file
.hh	C++ header file
.zfd	ABC Zeroadic functions file
.bhs	Rise of Nations script file
.vdp	Microsoft Visual Studio deployment project file
.applescript	AppleScript script file
.sbh	IBM SQABasic header file
.aro	SteelArrow script file
.lrs	Lazarus Resource file
.greenfoot	Greenfoot project file
.jbi	Motoman robot job file
.cfo	Turbo C utilities C form object file
.kbs	Keyboard Script saved keystrokes file
.avsi	Avisynth script file
.fcgi	FastCGI script file
.smd	Scheme file
.cod	Microsoft C compiler output
.phpt	PHP test suite file
.login	UNIX command file
.qs	Qt script file
.mmh	Dragon Age Model Mesh Heirarchy file
.dxl	Domino XML file
.epl	Encirq \PL programming language source file
.mako	Mako tamplate file
.ahtml	HTML file
.vbscript	Visual Basic script
.cola	Cola source code file
.cfml	Adobe ColdFusion Markup language file
.exw	Euphoria Windows source code file
.f77	Fortran 77 language source file
.mnd	AutoCAD Menu Compiler file
.irobo	RoboMind source code file
.gs	Haskell Gofer script file
.tst	TagScanner text transform script file
.ldz	Microsoft Visual Studio DSM project file
.fxml	Oracle FXML language source code
.go	Google Go programming language source code file
.cl	Common Lisp programming language source code file
.fasl	Scheme file
.xcodeproj	XCode project file
.reb	REBOL script file
.mod	PHP source code
.rsp	Rapport script file
.mp?	LoseThos Compiler map file
.vmx	Microsoft Visual Studio Visual C++ macro project file
.javajet	Eclipse JET Java template file
.v3s	Visual3D pipeline file
.abc	ABC programming language file
.asp	Procomm Plus ASPect language script file
.xsql	Oracle XSQL Servlet server side file
.sdi	Interface definition file
.xtxt	Xtext file
.gradle	Android Studio buid file
.tab	Microsoft SQL table script file
.xnf	Extensible Numerical file
.rbp	REALbasic project file
.mat	Poser 3D pose file
.spx	Microsoft FoxPro compiled form source file
.glade	Glade project
.apt	Almost Plain text file
.spt	Cypress Semiconductor USB console script file
.rbx	Ruby programming language source code file
.usi	UsiXML UI description file
.mqt	MetaQuotes Language 4 MQL4 template file
.ap?	LoseThos C+ source file
